label,file,filename,decision,score,max_seconds,sample_fps,face_size,comp.P_motion,comp.P_rppg,comp.P_static,info.Q_rppg,info.bpm,info.corr_lr,info.dup_frame_rate,info.fft_peak_ratio,info.frames_used,info.hf_laplacian_mean,info.jitter_med_norm,info.lbp_entropy,info.mode,info.q_min,info.reason,info.rppg_peak_ratio,info.sample_fps,info.screen_fft_score,info.snr_db,info.spoof_hint,info.tau_live
REAL,data/real/1 (1).mp4,1 (1).mp4,SPOOF,0.6724765229079238,8.5,12.0,160,0.5992700908662334,0.13588471903405283,0.9942902467375773,0.20161066323415278,93.91304347826086,0.4566110639268813,0.0,1.5259804328282673,92,10.775885264078775,0.026902634650468826,4.3744432131449384,no_rppg,0.3,,2.056963200633407,12.0,0.7492625912030538,6.2645304334623315,AI_likely,0.5
REAL,data/real/11.mp4,11.mp4,SPOOF,0.6349802118167401,8.5,12.0,160,0.5960950394454881,0.0008883947641349706,0.9139501701127779,0.000887841199507999,43.63636363636364,-0.715983646800323,0.0,1.567798376083374,66,7.178411483764648,0.01956695131957531,3.888050158818563,no_rppg,0.3,,3.5832770835697527,12.0,0.7505853176116943,11.085607825414616,AI_likely,0.5
REAL,data/real/14.mp4,14.mp4,SPOOF,0.6748217812916469,8.5,12.0,160,0.5997838982994224,0.004529831283161488,0.9989530811828206,0.014887205115028782,53.831775700934585,0.23415361713068833,0.0,1.5010768572489421,107,13.41212240854899,0.031908463686704636,4.463620821634929,no_rppg,0.3,,1.190268257197146,12.0,0.7488831877708435,1.5128970297184354,AI_likely,0.5
REAL,data/real/15.mp4,15.mp4,SPOOF,0.7120621258441817,8.5,12.0,160,0.5963325048083233,0.9594842477720977,0.9399747463184532,0.9500130700781072,60.0,0.856589283742764,0.0,1.6428178151448567,84,6.464466094970703,0.020114943385124207,4.523149649302165,with_rppg,0.3,,6.058688496263907,12.0,0.7506093581517538,15.647572457918528,AI_likely,0.5
REAL,data/real/23.mp4,23.mp4,SPOOF,0.6644930892507375,8.5,12.0,160,0.5634833847254633,0.22984402542034493,0.9988445619286473,0.2593581670703339,45.00000000000001,0.3005290818380106,0.0379746835443038,1.5123905340830486,80,13.286783854166666,0.008464143611490726,4.437714417775472,no_rppg,0.3,,2.685997293844508,12.0,0.7361028591791788,8.582111406365149,AI_likely,0.5
REAL,data/real/26.mp4,26.mp4,SPOOF,0.35519860282483595,8.5,12.0,160,0.5984253221317966,0.1115498322912166,0.30183632860947074,0.18310060277279924,61.27659574468086,0.5494077425732886,0.0,1.8155906597773235,47,2.663476546605428,0.02494901604950428,3.5567681789398193,no_rppg,0.3,,1.909258134003029,12.0,0.786202589670817,5.6172929783871925,replay_screen_likely,0.5
REAL,data/real/28.mp4,28.mp4,SPOOF,0.499289465066654,8.5,12.0,160,0.5923212849435519,0.23019924819645096,0.8477119256917458,0.3172840511453119,52.94117647058824,0.9568525076065831,0.0,1.6238420804341633,68,5.88868506749471,0.010872109793126583,4.000416119893392,with_rppg,0.3,,2.1820913313829466,12.0,0.7634711464246114,6.777458471173045,inconsistent_motion_texture,0.5
REAL,data/real/3.mp4,3.mp4,SPOOF,0.6731729995294148,8.5,12.0,160,0.5959384090433341,0.04456306322210248,0.999492505142198,0.05221872834434073,100.80000000000003,-0.011887377786990476,0.0,1.5060983101526897,50,14.79352887471517,0.04079444333910942,4.38610823949178,no_rppg,0.3,,2.5588377631971584,12.0,0.7520109812418619,8.160855012448726,AI_likely,0.5
REAL,data/real/34.mp4,34.mp4,LIVE,0.5853208706561507,8.5,12.0,160,0.5970656483412461,0.046864089188450316,0.8085707057961624,0.061555093189217584,54.54545454545455,0.06406400223069378,0.0,1.7198484738667805,66,4.883541584014893,0.021807456389069557,4.263108412424724,no_rppg,0.3,,2.2754796538621838,12.0,0.7667049566904703,7.141459122509504,unknown,0.5
REAL,data/real/WhatsApp Video 2026-01-20 at 22.22.30.mp4,WhatsApp Video 2026-01-20 at 22.22.30.mp4,SPOOF,0.6937847815709,8.5,12.0,160,0.5975963411543265,0.9129005542998821,0.9193273882951788,0.8992675953295737,54.33962264150944,0.7593399661537739,0.0,1.5982561508814495,53,7.465325673421224,0.023033222183585167,3.8170839150746665,with_rppg,0.3,,5.056269143353801,12.0,0.7570784290631613,14.076603639111141,AI_likely,0.5
REAL,data/real/WhatsApp Video 2026-01-29 at 20.06.25.mp4,WhatsApp Video 2026-01-29 at 20.06.25.mp4,SPOOF,0.6406594388080704,8.5,12.0,160,0.5950301477668857,0.0025402127325912867,0.9265999049694212,0.002914876520103827,57.599999999999994,-0.46950131410940255,0.0,1.5602808793385823,75,7.677760601043701,0.017110804095864296,3.788356065750122,no_rppg,0.3,,2.626371043332117,12.0,0.7485432227452596,8.387121619873017,AI_likely,0.5
REAL,data/real/WhatsApp Video 2026-01-29 at 20.06.26.mp4,WhatsApp Video 2026-01-29 at 20.06.26.mp4,LIVE,0.5751398658925005,8.5,12.0,160,0.5967317252518678,0.18192113918670227,0.7754084406758058,0.1793463308207007,50.08695652173913,0.10069827093910252,0.0,1.6025466124216716,115,6.4256900151570635,0.02103644795715809,3.365757465362549,no_rppg,0.3,,4.059405444920571,12.0,0.7383185227711996,12.169248588278037,unknown,0.5
REAL,data/real/WhatsApp Video 2026-01-29 at 20.06.30.mp4,WhatsApp Video 2026-01-29 at 20.06.30.mp4,SPOOF,0.6869439686122102,8.5,12.0,160,0.5974995133679908,0.818278213156251,0.9721269088320899,0.8046790735995156,45.0,0.612452314344916,0.0,1.5396055777867634,48,9.218802134195963,0.022809535264968872,3.8573548793792725,with_rppg,0.3,,4.5068221143627385,12.0,0.749183714389801,13.077408306555293,AI_likely,0.5
REAL,data/real/WIN_20260118_10_58_36_Pro.mp4,WIN_20260118_10_58_36_Pro.mp4,SPOOF,0.675639975752711,8.5,12.0,160,0.5934887267064034,0.9773092317808704,0.8075933162386183,0.9744219201336979,42.985074626865675,0.8806716067198277,0.0,1.6028239727020264,67,5.762578169504802,0.013559198938310146,3.832274913787842,with_rppg,0.3,,9.084953457865227,12.0,0.7530200878779093,19.16645410252619,inconsistent_motion_texture,0.5
REAL,data/real/WIN_20260120_01_26_32_Pro.mp4,WIN_20260120_01_26_32_Pro.mp4,SPOOF,0.444247995889824,8.5,12.0,160,0.5963501933865388,0.4774887902656746,0.45431828569432153,0.471170660365402,56.25,0.3335373532331219,0.0,1.5800071954727173,64,5.004023392995198,0.0201557669788599,2.943465312321981,with_rppg,0.3,,3.996525981697273,12.0,0.7639510234196981,12.033652799021509,inconsistent_motion_texture,0.5
